bucket,keyword,vol,kd,cpc
OUTCOME,how to get whatsapp business account,30,46,0
OUTCOME,how to convert whatsapp to business,30,,0
SERVICE,mattress sales singapore,2400,1,4.18
SERVICE,singapore mattress sales,2400,1,4.18
SERVICE,warehouse sales sg,2900,5,1.92
SERVICE,digital marketing agencies,4400,11,43.84
SERVICE,direct sales agency,4400,11,4.47
SERVICE,samsonite after sales service centre,2400,4,0.4
SERVICE,warehouse sales singapore,2900,7,1.92
SERVICE,singapore condo for sales,2900,8,2.92
SERVICE,sales of condo in singapore,2900,8,2.92
SERVICE,agency digital marketing,4400,19,43.84
SERVICE,digital marketing agency,4400,19,43.84
SERVICE,digital marketing advertising agencies,4400,19,43.84
SERVICE,agency marketing digital,4400,19,43.84
SERVICE,marketing agency digital,4400,19,43.84
SERVICE,digital agency marketing,4400,19,43.84
SERVICE,digital marketing for agencies,4400,19,43.84
SERVICE,digital marketing ads agency,4400,20,43.84
SERVICE,digital marketing and advertising agency,4400,20,43.84
SERVICE,business for sales sg,2400,9,0.33
SERVICE,agency for digital marketing,4400,21,43.84
SERVICE,digital marketing ad agency,4400,21,43.84
SERVICE,sales singapore,2400,10,0.89
SERVICE,business for sales singapore,2400,10,0.33
SERVICE,condo for sales in singapore,2900,14,2.92
SERVICE,condo sales singapore,2900,14,2.92
SERVICE,condo sales in singapore,2900,14,2.92
SERVICE,singapore luggage sales,1600,6,0.84
SERVICE,puppy for sales singapore,1000,2,0.68
SERVICE,digital marketing advertising agency,4400,27,43.84
SERVICE,warehouse sales in singapore,2900,19,1.92
SERVICE,singapore atrium sales,1900,11,1.18
SERVICE,singapore condo sales,2900,20,2.92
SERVICE,condominium for sales in singapore,2900,20,2.92
SERVICE,sales in singapore,2400,17,0.89
SERVICE,singapore warehouse sales,2900,24,1.92
SERVICE,singapore sales,2400,20,0.89
SERVICE,sg sales,2400,20,0.89
SERVICE,singapore on sales,2400,22,0.89
SERVICE,digital marketing in singapore,590,2,17.97
SERVICE,services for seo,1000,7,17.95
SERVICE,digital marketing and advertising company,4400,48,43.84
SERVICE,sales sg,2400,26,0.89
SERVICE,sales in sg,2400,27,0.89
SERVICE,digital marketing advertising companies,4400,57,43.84
SERVICE,digital marketing and advertising companies,4400,57,43.84
SERVICE,digital marketing courses singapore,480,2,11.85
SERVICE,used cars for sales in singapore,1300,19,0.63
SERVICE,digital marketing courses in singapore,480,4,11.85
SERVICE,luggage sales singapore,1600,25,0.84
SERVICE,singapore second hand car sales,1300,20,0.63
SERVICE,second hand car sales in singapore,1300,20,0.63
SERVICE,seo services,1000,15,17.95
SERVICE,sg digital marketing,590,8,17.97
SERVICE,digital marketing sg,590,8,17.97
SERVICE,digital marketing agency singapore,1300,24,25.44
SERVICE,digital marketing agencies in singapore,1300,24,25.44
SERVICE,digital marketing agency sg,1300,24,25.44
SERVICE,services seo,1000,18,17.95
