bucket,keyword,vol,kd,cpc
PAIN,affordable web design singapore,170,0,13.600000381469727
PAIN,cheap web design in singapore,170,3,13.600000381469727
PAIN,affordable website design singapore,170,7,13.600000381469727
PAIN,cheap website design singapore,170,13,13.600000381469727
PAIN,cheap web design singapore,170,33,13.600000381469727
PAIN,ai chatbot no restrictions,70,,0.31
PAIN,ai chatbot with no restrictions,50,,3.83
PAIN,ai chatbot no filter,30,,1.06
PAIN,ai chatbot no sign up,30,,0.41
PAIN,two whatsapp accounts on one iphone without whatsapp business,30,,0
SERVICE,digital marketing agencies,4400,11,43.84
SERVICE,direct sales agency,4400,11,4.47
SERVICE,black friday singapore sales,1300,0,0.2
SERVICE,black friday sales in singapore,1300,0,0.2
SERVICE,black friday sales sg,1300,0,0.2
SERVICE,black friday sales singapore,1300,0,0.2
SERVICE,singapore black friday sales,1300,0,0.2
SERVICE,sales position singapore,1000,0,0.93
SERVICE,sales career singapore,1000,0,0.93
SERVICE,agency digital marketing,4400,19,43.84
SERVICE,digital marketing agency,4400,19,43.84
SERVICE,digital marketing advertising agencies,4400,19,43.84
SERVICE,agency marketing digital,4400,19,43.84
SERVICE,marketing agency digital,4400,19,43.84
SERVICE,digital agency marketing,4400,19,43.84
SERVICE,digital marketing for agencies,4400,19,43.84
SERVICE,digital marketing ads agency,4400,20,43.84
SERVICE,digital marketing and advertising agency,4400,20,43.84
SERVICE,business for sales sg,2400,9,0.33
SERVICE,agency for digital marketing,4400,21,43.84
SERVICE,digital marketing ad agency,4400,21,43.84
SERVICE,sales singapore,2400,10,0.89
SERVICE,business for sales singapore,2400,10,0.33
SERVICE,singapore luggage sales,1600,6,0.84
SERVICE,singapore website design,3600,20,25.739999771118164
SERVICE,puppy for sales singapore,1000,2,0.68
SERVICE,digital marketing advertising agency,4400,27,43.84
SERVICE,singapore website design company,3600,25,25.739999771118164
SERVICE,web design in singapore,3600,25,25.739999771118164
SERVICE,website design company singapore,3600,25,25.739999771118164
SERVICE,singapore atrium sales,1900,11,1.18
SERVICE,condominium for sales in singapore,2900,20,2.92
SERVICE,web design sg,3600,27,25.739999771118164
SERVICE,sales in singapore,2400,17,0.89
SERVICE,website design services singapore,3600,28,25.739999771118164
SERVICE,web design company singapore,3600,32,25.739999771118164
SERVICE,singapore sales,2400,20,0.89
SERVICE,sg sales,2400,20,0.89
SERVICE,website design sg,3600,34,25.739999771118164
SERVICE,website design singapore,3600,34,25.739999771118164
SERVICE,singapore web design,3600,35,25.739999771118164
SERVICE,web design singapore,3600,35,25.739999771118164
SERVICE,singapore on sales,2400,22,0.89
SERVICE,social media agency in singapore,880,5,16.719999313354492
SERVICE,digital marketing in singapore,590,2,17.97
SERVICE,services for seo,1000,7,17.95
SERVICE,digital marketing and advertising company,4400,48,43.84
SERVICE,sales sg,2400,26,0.89
SERVICE,sales in sg,2400,27,0.89
SERVICE,digital marketing advertising companies,4400,57,43.84
SERVICE,digital marketing and advertising companies,4400,57,43.84
SERVICE,digital marketing courses singapore,480,2,11.85
SERVICE,seo package singapore,320,0,0
SERVICE,seo packages singapore,320,0,0
SERVICE,seo price singapore,320,0,1.5499999523162842
SERVICE,seo pricing singapore,320,0,1.5499999523162842
SERVICE,seo singapore price,320,0,1.5499999523162842
SERVICE,singapore seo package,320,0,0
SERVICE,singapore seo packages,320,0,0
SERVICE,seo optimization agencies,1300,17,13.34000015258789
SERVICE,used cars for sales in singapore,1300,19,0.63
SERVICE,digital marketing courses in singapore,480,4,11.85
SERVICE,luggage sales singapore,1600,25,0.84
SERVICE,singapore seo,1900,31,21.020000457763672
SERVICE,services in digital marketing,260,0,28.88
SERVICE,services for digital marketing,260,0,28.88
SERVICE,singapore second hand car sales,1300,20,0.63
SERVICE,second hand car sales in singapore,1300,20,0.63
SERVICE,small business seo services,260,0,0
SERVICE,cost of website design in singapore,260,0,20.510000228881836
SERVICE,singapore web design price,260,0,20.510000228881836
SERVICE,singapore website design cost,260,0,20.510000228881836
SERVICE,singapore website design price,260,0,20.510000228881836
SERVICE,web design cost singapore,260,0,20.510000228881836
SERVICE,web design singapore price,260,0,20.510000228881836
SERVICE,website design cost singapore,260,0,20.510000228881836
SERVICE,website design singapore cost,260,0,20.510000228881836
SERVICE,website design singapore price,260,0,20.510000228881836
SERVICE,network marketing in singapore,260,0,1.0399999618530273
SERVICE,seo services,1000,15,17.95
SERVICE,sg digital marketing,590,8,17.97
SERVICE,digital marketing sg,590,8,17.97
SERVICE,digital marketing agency singapore,1300,24,25.44
SERVICE,digital marketing agencies in singapore,1300,24,25.44
SERVICE,digital marketing agency sg,1300,24,25.44
SERVICE,marketing agency,880,15,15.359999656677246
SERVICE,services seo,1000,18,17.95
SERVICE,digital marketing agencies singapore,1300,27,25.44
SERVICE,used car sales in singapore,1300,27,0.63
SERVICE,online marketing agency singapore,1300,27,25.440000534057617
SERVICE,agency for marketing,880,17,15.359999656677246
SERVICE,digital marketing agency in singapore,1300,28,25.44
SERVICE,companies for web design,480,8,20.65999984741211
SERVICE,digital marketing singapore,590,12,17.97
SERVICE,ai chatbot singapore,170,0,3.26
SERVICE,content marketing agency singapore,170,0,0
SERVICE,content marketing company singapore,170,0,0
SERVICE,singapore content marketing agency,170,0,0
SERVICE,seo of a company,880,21,17.579999923706055
SERVICE,best web design firm in singapore,260,3,16.540000915527344
SERVICE,used car for sales in singapore,1300,36,0.63
SERVICE,2nd hand car sales singapore,1300,36,0.63
SERVICE,used car for sales singapore,1300,36,0.63
SERVICE,second hand car sales singapore,1300,36,0.63
SERVICE,seo singapore agency,880,23,27.81999969482422
SERVICE,company seo,880,23,17.579999923706055
SERVICE,seo services small businesses,260,4,0
SERVICE,seo optimization services,1000,31,17.95
SERVICE,seo service,1000,31,17.950000762939453
SERVICE,singapore digital marketing,590,17,17.97
SERVICE,marketing agencies in singapore,880,28,30.459999084472656
SERVICE,marketing agencies singapore,880,28,30.459999084472656
SERVICE,marketing firm in singapore,880,28,30.459999084472656
SERVICE,marketing firms in singapore,880,28,30.459999084472656
SERVICE,used car sales singapore,1300,45,0.63
SERVICE,website design agency,390,10,8.399999618530273
SERVICE,seo services singapore,720,23,52.92
SERVICE,seo service singapore,720,23,52.91999816894531
SERVICE,property sales singapore,1300,46,1.45
SERVICE,marketing agency singapore,880,30,30.459999084472656
SERVICE,singapore online sales,1600,61,2.91
SERVICE,digital marketing companies in singapore,1300,49,25.44
SERVICE,best seo agency singapore,590,20,41.83000183105469
SERVICE,singapore used car sales,1300,51,0.63
SERVICE,seo in company,880,33,17.579999923706055
SERVICE,ai companies,390,12,10.119999885559082
SERVICE,singapore house sales,1300,53,1.55
SERVICE,house sales singapore,1300,53,1.55
SERVICE,lead generation singapore,110,0,78.24
SERVICE,singapore lead generation,110,0,78.24
SERVICE,local seo services singapore,110,0,0
SERVICE,leads generation singapore,110,0,78.23999786376953
SERVICE,singapore b2b,110,0,9.760000228881836
SERVICE,singapore leads generation,110,0,78.23999786376953
SERVICE,singapore web design agency,590,22,17.15999984741211
SERVICE,web design for companies,480,17,20.65999984741211
SERVICE,property sales in singapore,1300,55,1.45
SERVICE,singapore property sales,1300,55,1.45
SERVICE,property for sales singapore,1300,55,1.45
SERVICE,seo services for small business,260,7,0
SERVICE,digital marketing companies singapore,1300,56,25.44
SERVICE,digital marketing company singapore,1300,56,25.44
SERVICE,digital marketing company in singapore,1300,56,25.44
SERVICE,online sales in singapore,1600,71,2.91
SERVICE,singapore digital marketing company,1300,57,25.44
SERVICE,singapore digital marketing agency,1300,57,25.44
SERVICE,website design company,480,18,20.65999984741211
